# # om_m, S_8, h, w_0 sigma_8
0.2600031 0.8397038 0.7704206 -1.5453807 0.9019812
0.3138610 0.7955240 0.6623942 -1.3801507 0.7777593
0.2338924 0.8624003 0.6127786 -1.0405735 0.9767005
0.5268806 0.8183792 0.7188222 -1.4792173 0.6175315
0.4265762 0.8437884 0.7415431 -0.6054270 0.7076131
0.3392828 0.7118957 0.6736258 -1.6281280 0.6694160
0.4521570 0.7640664 0.7083691 -1.6484157 0.6223677
0.2120652 0.8612888 0.6589386 -0.8360561 1.0244121
0.1435893 0.8757462 0.6063575 -0.8694919 1.2658373
0.4347007 0.6645414 0.6349940 -1.4503191 0.5520616
0.5163689 0.8522061 0.7115837 -1.3275219 0.6495689
0.2735565 0.6812637 0.6925393 -0.6442728 0.7134317
0.1403105 0.8714147 0.6050803 -1.1696005 1.2742083
0.5040846 0.7514393 0.7664209 -0.8995303 0.5796993
0.3535513 0.8365216 0.6546332 -1.7472311 0.7705690
0.3081714 0.6347462 0.6960808 -0.7901594 0.6262742
0.2350895 0.6131678 0.6215889 -1.5618732 0.6926652
0.4087986 0.6911922 0.7589457 -0.6175118 0.5921132
0.1494499 0.6431989 0.6250081 -1.6671169 0.9112932
0.3482929 0.8300374 0.7248107 -1.3043999 0.7703463
0.2055246 0.6610010 0.6732134 -0.5720825 0.7986028
0.1107855 0.7489819 0.7861278 -0.6590391 1.2325104
0.5192218 0.7383683 0.7448450 -1.5910841 0.5612511
0.1144200 0.6661085 0.7502082 -1.8313976 1.0785855
0.2690187 0.8209261 0.6182529 -1.4737163 0.8669089
0.3780457 0.8342056 0.6504060 -0.7735525 0.7431245
0.1309438 0.6451771 0.7636242 -0.5369955 0.9765560
0.3905862 0.6510255 0.8041451 -1.1285931 0.5705585
0.4491663 0.8942801 0.6464410 -0.8161804 0.7308539
0.4950983 0.8496970 0.7908927 -1.7000278 0.6614226
0.2433701 0.8248309 0.7151369 -1.5672947 0.9157816
0.4310599 0.6579541 0.6306375 -1.6172481 0.5488927
0.1939749 0.7974214 0.7781739 -1.3377598 0.9916897
0.5294886 0.8113374 0.7642052 -0.7279445 0.6107083
0.4714480 0.7865894 0.7282132 -1.0517160 0.6274683
0.1594523 0.6173626 0.7953638 -1.2455690 0.8468091
